timestamp,asset_id,level,side,price,size
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,1,BID,0.5100,3529.06
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,2,BID,0.5000,28933.59
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,3,BID,0.4900,21330.42
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,4,BID,0.4800,2328.66
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,5,BID,0.4700,5963.99
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,6,BID,0.4600,5565
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,7,BID,0.4500,500
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,8,BID,0.4400,1179.86
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,9,BID,0.4300,4469
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,10,BID,0.4200,5366
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,11,BID,0.4100,329.2
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,12,BID,0.4000,1177
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,13,BID,0.3900,494
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,14,BID,0.3800,2440.26
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,15,BID,0.3700,3250
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,16,BID,0.3500,3711.64
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,17,BID,0.3400,238
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,18,BID,0.3300,222
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,19,BID,0.3200,5555
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,20,BID,0.3100,5555
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,21,BID,0.3000,500
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,22,BID,0.2900,1009.38
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,23,BID,0.2700,6850
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,24,BID,0.2600,762.99
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,25,BID,0.2500,3043
1761675467587,105493243911415328186853135427180882742964878728761632341401884622809951441015,26,BID,0.2400,5620
